0&emsp;Air 
1&emsp;Stone 
1:1&emsp;Granite 
1:2&emsp;Polished Granite 
1:3&emsp;Diorite 
1:4&emsp;Polished Diorite 
1:5&emsp;Andesite 
1:6&emsp;Polished Andesite 
2&emsp;Grass 
3&emsp;Dirt 
3:1&emsp;Coarse Dirt 
3:2&emsp;Podzol 
4&emsp;Cobblestone 
5&emsp;Wooden Plank (Oak) 
5:1&emsp;Wooden Plank (Spruce) 
5:2&emsp;Wooden Plank (Birch) 
5:3&emsp;Wooden Plank (Jungle) 
5:4&emsp;Wooden Plank (Acacia) 
5:5&emsp;Wooden Plank (Dark Oak) 
6&emsp;Sapling (Oak) 
6:1&emsp;Sapling (Spruce) 
6:2&emsp;Sapling (Birch) 
6:3&emsp;Sapling (Jungle) 
6:4&emsp;Sapling (Acacia) 
6:5&emsp;Sapling (Dark Oak) 
7&emsp;Bedrock 
8&emsp;Water 
9&emsp;Water (No Spread) 
10&emsp;Lava 
11&emsp;Lava (No Spread) 
12&emsp;Sand 
12:1&emsp;Red Sand 
13&emsp;Gravel 
14&emsp;Gold Ore 
15&emsp;Iron Ore 
16&emsp;Coal Ore 
17&emsp;Wood (Oak) 
17:1&emsp;Wood (Spruce) 
17:2&emsp;Wood (Birch) 
17:3&emsp;Wood (Jungle) 
17:4&emsp;Wood (Oak 4) 
17:5&emsp;Wood (Oak 5) 
18&emsp;Leaves (Oak) 
18:1&emsp;Leaves (Spruce) 
18:2&emsp;Leaves (Birch) 
18:3&emsp;Leaves (Jungle) 
19&emsp;Sponge 
19:1&emsp;Wet Sponge 
20&emsp;Glass 
21&emsp;Lapis Lazuli Ore 
22&emsp;Lapis Lazuli Block 
23&emsp;Dispenser 
24&emsp;Sandstone 
24:1&emsp;Sandstone (Chiseled) 
24:2&emsp;Sandstone (Smooth) 
25&emsp;Note Block 
26&emsp;Bed (Block) 
27&emsp;Rail (Powered) 
28&emsp;Rail (Detector) 
29&emsp;Sticky Piston 
30&emsp;Cobweb 
31&emsp;Tall Grass (Dead Shrub) 
31:1&emsp;Tall Grass 
31:2&emsp;Tall Grass (Fern) 
32&emsp;Dead Shrub 
33&emsp;Piston 
34&emsp;Piston (Head) 
35&emsp;Wool 
35:1&emsp;Orange Wool 
35:2&emsp;Magenta Wool 
35:3&emsp;Light Blue Wool 
35:4&emsp;Yellow Wool 
35:5&emsp;Lime Wool 
35:6&emsp;Pink Wool 
35:7&emsp;Gray Wool 
35:8&emsp;Light Gray Wool 
35:9&emsp;Cyan Wool 
35:10&emsp;Purple Wool 
35:11&emsp;Blue Wool 
